movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
1,Look Who's Talking,PG-13,7500000,296000000,1989-10-12,Romance,93,5.9,73638,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over."
2,Driving Miss Daisy,PG,7500000,145793296,1989-12-13,Comedy,99,7.4,91075,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
3,Turner & Hooch,PG,13000000,71079915,1989-07-28,Crime,100,7.2,91415,"Det. Scott Turner (Tom Hanks) is an uptight, by-the-book police officer. When his friend Amos Reed (John McIntire), the proprietor of a junkyard, is killed, Turner reluctantly inherits the man's dog. Turner adjusts to life with the dog to help solve a murder case. "
4,Born on the Fourth of July,R,14000000,161001698,1989-12-20,War,145,7.2,91415,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for."
5,Field of Dreams,PG,15000000,84431625,1989-04-21,Drama,107,7.5,101702,"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the 1919 Chicago White Sox come."
6,Uncle Buck,PG,15000000,79258538,1989-08-16,Family,100,7,77659,Bachelor and all-round slob Buck babysits his brothers rebellious teenage daughter and her cute younger brother and sister.
7,When Harry Met Sally...,R,16000000,92800000,1989-07-21,Romance,96,7.6,180871,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
8,Dead Poets Society,PG,16400000,235860116,1989-06-02,Drama,129,8.1,382002,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
9,Parenthood,PG-13,20000000,126297830,1989-07-31,Comedy,124,7,41866,"The Buckmans are a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse."
10,Lethal Weapon 2,R,25000000,227853986,1989-07-07,Comedy,114,7.2,151737,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.
11,The War of the Roses,R,26000000,160200000,1989-12-08,Comedy,116,6.8,45248,A married couple try everything to get each other to leave the house in a vicious divorce battle.
12,National Lampoon's Christmas Vacation,PG-13,27000000,71320000,1989-12-01,Action,97,7.6,135690,The Griswold familys plans for a big family Christmas predictably turn into a big disaster.
13,"Honey, I Shrunk the Kids",PG,32000000,222724172,1989-06-22,Family,93,6.3,132480,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
14,Batman,PG,35000000,411348924,1989-06-23,Action,126,7.5,319517,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
